"Y","Density"
-4.2,0.0006646074099634446
-4.19,0.0006648283339288771
-4.18,0.000665054424143351
-4.17,0.000665285733743134
-4.16,0.0006655223160033744
-4.15,0.000665764224335377
-4.14,0.0006660115122838691
-4.13,0.0006662642335242201
-4.12,0.0006665224418596476
-4.11,0.0006667861912183899
-4.1,0.0006670555256984227
-4.09,0.0006673305196105026
-4.08,0.0006676112170493061
-4.07,0.00066789767241428
-4.0600000000000005,0.0006681899402153657
-4.05,0.0006684880750700126
-4.04,0.0006687921317001719
-4.03,0.0006691021649292564
-4.0200000000000005,0.0006694182296790804
-4.01,0.0006697403809667725
-4.,0.000670068681624429
-3.99,0.0006704031711991299
-3.98,0.0006707439129070287
-3.97,0.0006710909621151881
-3.96,0.0006714443742701867
-3.95,0.0006718042048948885
